Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
Razer,Intel i7,4,256GB SSD,Nvidia RTX 3080,16.0,3840x2160,6.7,1.41,Linux,2902.18
Asus,Intel i7,16,256GB SSD,Nvidia RTX 2060,14.0,3840x2160,9.9,1.32,FreeDOS,2583.75
HP,Intel i9,32,1TB HDD,Nvidia RTX 3080,17.3,3840x2160,10.9,1.4,Linux,4106.33
Razer,AMD Ryzen 9,8,256GB SSD,Nvidia RTX 2060,15.6,3840x2160,4.9,1.69,macOS,4112.36
Acer,AMD Ryzen 9,64,1TB HDD,AMD Radeon RX 6600,15.6,2560x1440,8.2,1.55,macOS,4486.71
Acer,AMD Ryzen 7,8,256GB SSD,Integrated,14.0,3840x2160,6.9,3.29,Windows,1288.12
Microsoft,AMD Ryzen 5,16,1TB SSD,AMD Radeon RX 6600,14.0,1920x1080,4.0,1.67,Windows,1214.53
Apple,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3080,15.6,2560x1440,4.9,3.08,macOS,4032.33
Samsung,Intel i5,32,512GB SSD,Nvidia RTX 3060,13.3,1366x768,6.0,1.45,FreeDOS,1422.55
Lenovo,Intel i5,8,256GB SSD,Nvidia RTX 3080,16.0,2560x1440,4.6,1.66,Windows,1437.24
Acer,Intel i9,8,256GB SSD,Nvidia GTX 1650,14.0,1920x1080,9.5,1.96,Linux,1719.98
Acer,Intel i7,8,512GB SSD,Integrated,13.3,1366x768,6.7,3.24,Linux,726.75
Asus,Intel i7,16,512GB SSD,Nvidia RTX 2060,15.6,3840x2160,10.4,2.58,macOS,2671.46
Razer,AMD Ryzen 3,64,256GB SSD,Nvidia RTX 3080,16.0,1366x768,11.8,2.65,macOS,2467.84
Samsung,Intel i5,8,1TB HDD,Nvidia RTX 3080,16.0,2560x1440,6.9,1.4,FreeDOS,1037.79
Acer,AMD Ryzen 3,32,256GB SSD,Nvidia RTX 2060,13.3,1366x768,6.7,2.51,Linux,1021.18
Asus,Intel i9,8,1TB SSD,Integrated,15.6,2560x1440,5.9,2.25,FreeDOS,1534.79
HP,Intel i9,4,1TB HDD,Nvidia RTX 3060,16.0,2560x1440,5.8,2.55,macOS,1673.26
Microsoft,AMD Ryzen 5,16,512GB SSD,AMD Radeon RX 6800,16.0,3840x2160,5.2,2.11,Windows,2295.68
HP,AMD Ryzen 3,32,2TB SSD,Nvidia RTX 2060,13.3,3840x2160,7.7,2.39,Linux,2310.21
Dell,AMD Ryzen 3,16,1TB HDD,Nvidia RTX 3080,16.0,2560x1440,7.6,2.62,Windows,1266.33
Apple,AMD Ryzen 5,16,2TB SSD,Nvidia RTX 3060,13.3,2560x1440,9.3,1.52,Linux,2177.35
Acer,Intel i5,16,2TB SSD,Integrated,17.3,2560x1440,5.1,2.07,FreeDOS,1188.67
Lenovo,Intel i9,16,1TB SSD,AMD Radeon RX 6600,15.6,1920x1080,8.1,3.01,FreeDOS,2143.24
Lenovo,Intel i9,64,1TB SSD,Integrated,14.0,1920x1080,11.4,2.88,Linux,2722.57
Microsoft,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,10.7,3.15,Windows,1546.88
Apple,Intel i5,32,256GB SSD,Integrated,17.3,2560x1440,9.8,2.16,Windows,2199.87
Acer,Intel i3,8,512GB SSD,Nvidia GTX 1650,13.3,2560x1440,9.6,1.39,Windows,958.37
Microsoft,Intel i3,8,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,8.3,1.54,Linux,1065.81
Dell,Intel i7,64,512GB SSD,Integrated,16.0,3840x2160,11.4,3.39,Windows,3648.96
Asus,Intel i3,64,256GB SSD,Nvidia RTX 2060,15.6,1366x768,8.3,2.54,Linux,1943.94
MSI,AMD Ryzen 9,8,1TB HDD,AMD Radeon RX 6600,17.3,3840x2160,5.7,1.95,macOS,3180.52
HP,Intel i5,8,1TB HDD,AMD Radeon RX 6600,13.3,3840x2160,8.9,2.95,Linux,1286.55
MSI,Intel i3,8,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,4.5,2.54,Windows,1616.58
HP,AMD Ryzen 7,4,512GB SSD,AMD Radeon RX 6800,13.3,2560x1440,9.5,2.42,macOS,1554.49
Apple,AMD Ryzen 9,64,2TB SSD,Nvidia GTX 1650,16.0,1366x768,7.5,3.41,Windows,5471.81
Apple,AMD Ryzen 3,8,512GB SSD,Integrated,15.6,3840x2160,11.6,2.46,FreeDOS,1419.48
Acer,AMD Ryzen 7,16,512GB SSD,Integrated,16.0,2560x1440,4.3,1.27,Linux,1276.31
HP,AMD Ryzen 3,32,512GB SSD,Integrated,14.0,2560x1440,9.1,3.23,Windows,991.37
Microsoft,AMD Ryzen 9,64,256GB SSD,Nvidia GTX 1650,15.6,1920x1080,10.6,1.46,Windows,4200.93
Samsung,AMD Ryzen 7,64,2TB SSD,Nvidia RTX 3080,16.0,3840x2160,11.9,2.52,FreeDOS,5448.95
Samsung,AMD Ryzen 5,64,1TB SSD,AMD Radeon RX 6800,16.0,3840x2160,4.5,1.58,Linux,4426.88
Apple,Intel i7,4,1TB HDD,AMD Radeon RX 6600,15.6,1920x1080,6.9,1.99,Windows,1599.17
Asus,AMD Ryzen 3,4,2TB SSD,Integrated,15.6,1920x1080,8.2,3.35,FreeDOS,551.39
MSI,AMD Ryzen 3,64,1TB SSD,Nvidia RTX 3060,16.0,2560x1440,7.9,3.1,Linux,3443.82
Microsoft,Intel i9,64,256GB SSD,Nvidia GTX 1650,17.3,1920x1080,6.2,2.46,Windows,4338.67
Apple,AMD Ryzen 7,64,2TB SSD,Nvidia GTX 1650,13.3,1920x1080,11.6,1.66,Windows,4374.84
Asus,Intel i7,8,1TB SSD,Nvidia GTX 1650,15.6,1920x1080,4.4,3.21,macOS,1346.44
Lenovo,AMD Ryzen 7,16,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,7.2,2.49,Linux,2750.2
Dell,Intel i7,16,2TB SSD,AMD Radeon RX 6800,16.0,1920x1080,5.3,2.57,FreeDOS,1520.45
Microsoft,AMD Ryzen 9,64,512GB SSD,Nvidia RTX 3060,15.6,2560x1440,5.5,2.32,Linux,5293.8
Lenovo,Intel i9,4,1TB SSD,Nvidia GTX 1650,13.3,1366x768,10.7,3.43,FreeDOS,1367.55
Asus,Intel i7,8,2TB SSD,Nvidia RTX 3080,13.3,1920x1080,10.8,2.3,Windows,1230.33
Dell,Intel i7,32,2TB SSD,Integrated,15.6,1366x768,4.1,1.25,macOS,1229.46
Dell,AMD Ryzen 7,32,512GB SSD,Nvidia RTX 2060,15.6,1366x768,5.2,1.56,Windows,1885.72
Razer,Intel i3,8,1TB HDD,Nvidia RTX 2060,14.0,1366x768,8.6,2.17,Linux,769.87
Dell,AMD Ryzen 9,4,512GB SSD,Nvidia GTX 1650,13.3,3840x2160,5.0,2.79,Linux,2417.09
Apple,Intel i7,16,512GB SSD,Nvidia GTX 1650,15.6,1920x1080,9.7,3.32,Windows,2321.22
Microsoft,Intel i5,32,1TB HDD,Nvidia RTX 3080,17.3,1366x768,4.3,2.94,Windows,1212.56
Razer,Intel i7,16,1TB HDD,AMD Radeon RX 6600,15.6,2560x1440,11.0,1.82,macOS,2377.93
MSI,Intel i5,8,1TB SSD,Integrated,16.0,1920x1080,7.2,1.35,FreeDOS,985.93
MSI,Intel i5,4,512GB SSD,Nvidia RTX 3060,14.0,3840x2160,9.5,1.33,Windows,1814.0
Microsoft,Intel i3,16,1TB SSD,Integrated,13.3,2560x1440,8.0,2.51,Linux,941.56
Dell,AMD Ryzen 7,16,1TB SSD,AMD Radeon RX 6600,15.6,1920x1080,4.4,1.7,Linux,1779.06
Dell,AMD Ryzen 9,32,1TB SSD,Integrated,13.3,2560x1440,11.1,1.6,FreeDOS,2356.42
Acer,Intel i5,16,1TB SSD,Nvidia RTX 3080,14.0,1366x768,11.3,1.57,Windows,977.21
Samsung,AMD Ryzen 3,8,512GB SSD,Nvidia RTX 3060,16.0,2560x1440,6.2,2.6,macOS,1111.58
Samsung,Intel i5,64,256GB SSD,AMD Radeon RX 6800,16.0,1366x768,10.2,2.63,Linux,2203.52
Acer,Intel i3,64,1TB SSD,Integrated,13.3,1920x1080,5.0,3.29,FreeDOS,1226.38
Asus,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 2060,14.0,2560x1440,4.5,2.42,Windows,1960.94
HP,AMD Ryzen 7,4,256GB SSD,Nvidia GTX 1650,15.6,1920x1080,9.9,3.12,macOS,1253.31
Dell,AMD Ryzen 5,32,256GB SSD,Nvidia RTX 3080,13.3,1920x1080,8.8,2.02,FreeDOS,1546.76
HP,Intel i9,32,256GB SSD,AMD Radeon RX 6600,13.3,1366x768,4.6,1.78,macOS,2334.8
Asus,Intel i3,8,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,9.6,2.66,Linux,1639.94
Acer,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 2060,14.0,3840x2160,10.0,2.12,macOS,1402.43
Samsung,AMD Ryzen 3,8,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,9.8,2.28,Linux,1304.94
Apple,AMD Ryzen 3,8,256GB SSD,Nvidia GTX 1650,14.0,1366x768,9.7,1.89,Linux,1130.03
Dell,AMD Ryzen 7,4,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,6.0,1.5,Linux,1812.48
Acer,Intel i3,64,512GB SSD,Nvidia GTX 1650,17.3,3840x2160,7.4,3.17,FreeDOS,3618.36
MSI,Intel i7,64,256GB SSD,Nvidia RTX 3080,13.3,2560x1440,7.5,1.61,macOS,4886.23
Razer,AMD Ryzen 7,32,256GB SSD,AMD Radeon RX 6800,16.0,3840x2160,9.9,3.06,Linux,5074.21
Asus,AMD Ryzen 7,8,256GB SSD,Nvidia RTX 2060,15.6,2560x1440,7.3,1.95,Linux,1759.07
Dell,AMD Ryzen 3,32,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,6.4,3.15,macOS,1771.05
Samsung,AMD Ryzen 7,8,512GB SSD,AMD Radeon RX 6800,16.0,2560x1440,4.0,1.82,Linux,1613.38
MSI,AMD Ryzen 5,8,256GB SSD,Nvidia RTX 3080,15.6,1366x768,9.5,1.85,FreeDOS,1246.99
Razer,Intel i5,64,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,8.6,2.67,Linux,2978.76
Dell,Intel i3,4,1TB SSD,Nvidia RTX 3080,14.0,1920x1080,5.8,3.15,macOS,841.43
MSI,Intel i5,16,2TB SSD,AMD Radeon RX 6600,16.0,2560x1440,7.6,2.61,Linux,2180.11
Asus,Intel i7,64,1TB SSD,Nvidia RTX 2060,16.0,1920x1080,5.2,2.78,macOS,3240.12
Samsung,Intel i9,32,512GB SSD,AMD Radeon RX 6800,15.6,3840x2160,4.5,1.42,Linux,4771.51
Apple,AMD Ryzen 3,64,256GB SSD,Nvidia RTX 3080,13.3,1920x1080,5.2,1.86,FreeDOS,3076.51
Microsoft,AMD Ryzen 7,4,2TB SSD,Nvidia RTX 3080,16.0,3840x2160,7.6,2.48,Linux,1918.89
HP,Intel i7,8,512GB SSD,AMD Radeon RX 6600,15.6,1920x1080,9.4,2.53,Windows,1494.68
Samsung,AMD Ryzen 9,32,256GB SSD,Nvidia GTX 1650,15.6,2560x1440,9.3,1.49,FreeDOS,3641.83
Dell,Intel i9,64,512GB SSD,Nvidia GTX 1650,13.3,2560x1440,10.0,3.38,Windows,4846.63
Razer,Intel i5,16,512GB SSD,Nvidia RTX 3060,17.3,3840x2160,9.6,1.57,Linux,3011.36
Samsung,Intel i5,16,256GB SSD,Nvidia RTX 3060,15.6,1366x768,8.9,1.24,macOS,1144.81
Apple,AMD Ryzen 9,8,2TB SSD,Nvidia GTX 1650,15.6,2560x1440,11.5,3.25,Linux,3293.13
Apple,Intel i5,32,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,6.6,1.68,macOS,2080.95
Asus,Intel i9,16,512GB SSD,Nvidia GTX 1650,13.3,2560x1440,4.6,2.68,Windows,2470.2
Microsoft,AMD Ryzen 7,32,1TB HDD,AMD Radeon RX 6800,17.3,2560x1440,9.8,1.45,Linux,2294.08
Microsoft,AMD Ryzen 5,64,1TB SSD,Nvidia RTX 2060,15.6,1366x768,5.1,2.3,FreeDOS,2304.02
Dell,AMD Ryzen 9,32,2TB SSD,Nvidia GTX 1650,16.0,1920x1080,8.5,2.2,Windows,2939.79
Razer,AMD Ryzen 3,8,1TB HDD,AMD Radeon RX 6800,14.0,1920x1080,9.4,2.46,FreeDOS,903.49
Apple,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 3080,16.0,2560x1440,5.5,2.78,Linux,3265.14
Lenovo,AMD Ryzen 5,4,512GB SSD,AMD Radeon RX 6800,13.3,2560x1440,5.8,1.41,macOS,1107.03
Asus,Intel i9,4,1TB HDD,Integrated,16.0,2560x1440,10.3,2.73,Windows,1085.67
Lenovo,Intel i7,32,256GB SSD,Nvidia RTX 2060,14.0,1920x1080,8.9,1.35,FreeDOS,2052.57
Dell,AMD Ryzen 7,64,2TB SSD,Nvidia RTX 2060,13.3,1920x1080,7.9,1.37,Linux,2929.79
Razer,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6800,14.0,1920x1080,4.2,2.56,macOS,4241.28
Acer,Intel i7,16,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,4.1,2.19,FreeDOS,2017.34
Acer,AMD Ryzen 5,64,1TB HDD,Integrated,14.0,3840x2160,6.7,1.76,FreeDOS,2224.94
Razer,Intel i5,8,512GB SSD,AMD Radeon RX 6600,15.6,1366x768,7.4,3.15,Windows,1219.35
HP,Intel i5,64,1TB SSD,Nvidia GTX 1650,15.6,1366x768,10.7,1.52,Windows,2208.59
Razer,Intel i5,16,2TB SSD,Nvidia RTX 2060,15.6,1366x768,8.5,3.48,FreeDOS,1574.78
Samsung,AMD Ryzen 7,8,256GB SSD,Nvidia RTX 2060,14.0,2560x1440,9.2,2.04,FreeDOS,1525.25
Asus,Intel i3,16,1TB HDD,Integrated,15.6,1920x1080,8.0,3.36,Windows,643.96
MSI,AMD Ryzen 5,16,2TB SSD,AMD Radeon RX 6600,16.0,1920x1080,11.7,2.23,macOS,1649.83
Asus,Intel i9,8,2TB SSD,Nvidia RTX 2060,15.6,2560x1440,11.4,2.13,FreeDOS,2200.21
Microsoft,Intel i3,16,512GB SSD,Nvidia RTX 2060,15.6,1366x768,7.4,1.92,macOS,857.06
Asus,Intel i5,64,2TB SSD,AMD Radeon RX 6600,15.6,1920x1080,5.3,2.07,Linux,2507.92
HP,AMD Ryzen 5,16,256GB SSD,AMD Radeon RX 6600,17.3,1366x768,5.3,3.47,Linux,996.39
MSI,Intel i3,64,1TB HDD,Nvidia GTX 1650,13.3,1920x1080,4.7,3.38,Windows,2135.43
Acer,Intel i5,4,256GB SSD,Nvidia RTX 2060,14.0,3840x2160,6.3,1.42,macOS,1360.9
Razer,AMD Ryzen 5,16,1TB SSD,AMD Radeon RX 6600,15.6,3840x2160,4.3,1.29,FreeDOS,3050.98
Microsoft,AMD Ryzen 7,8,1TB SSD,Nvidia GTX 1650,17.3,2560x1440,8.6,2.13,Windows,1592.86
MSI,Intel i7,8,2TB SSD,Nvidia RTX 2060,16.0,2560x1440,8.5,2.68,Linux,2350.67
Microsoft,AMD Ryzen 7,16,512GB SSD,AMD Radeon RX 6800,13.3,2560x1440,11.1,1.48,macOS,1878.9
Lenovo,Intel i9,32,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,9.6,1.53,FreeDOS,3729.24
MSI,AMD Ryzen 3,64,512GB SSD,AMD Radeon RX 6600,17.3,1366x768,4.9,2.53,Linux,2454.61
MSI,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3060,15.6,2560x1440,5.4,1.96,macOS,1723.04
Samsung,AMD Ryzen 5,16,1TB HDD,Nvidia RTX 2060,13.3,1366x768,4.6,2.13,Windows,750.9
MSI,AMD Ryzen 9,8,1TB HDD,Integrated,15.6,1366x768,11.3,3.44,Linux,1183.29
Acer,Intel i9,16,1TB SSD,Integrated,14.0,2560x1440,11.0,1.7,macOS,1667.34
Apple,Intel i9,4,512GB SSD,Nvidia RTX 3060,17.3,3840x2160,10.6,1.77,FreeDOS,4062.38
Acer,AMD Ryzen 9,4,2TB SSD,Nvidia RTX 3080,13.3,1920x1080,8.2,3.14,macOS,1414.25
Asus,Intel i3,4,512GB SSD,Integrated,14.0,1920x1080,10.1,1.87,Linux,666.68
Apple,Intel i5,8,512GB SSD,Nvidia RTX 2060,13.3,3840x2160,4.4,2.81,Linux,2359.86
Razer,Intel i5,4,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,10.3,2.36,Windows,1391.67
Samsung,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,7.4,3.45,macOS,2969.84
HP,Intel i3,64,1TB HDD,Integrated,16.0,2560x1440,7.0,2.15,macOS,1512.54
MSI,Intel i3,8,1TB HDD,Integrated,13.3,1366x768,11.7,1.57,FreeDOS,611.61
MSI,Intel i5,4,1TB HDD,Nvidia GTX 1650,17.3,1366x768,10.2,2.45,macOS,889.72
Razer,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3060,13.3,1920x1080,10.9,2.11,macOS,2702.86
Dell,AMD Ryzen 5,32,1TB HDD,AMD Radeon RX 6600,16.0,3840x2160,10.2,2.09,macOS,2322.21
Lenovo,AMD Ryzen 9,16,512GB SSD,Nvidia RTX 3060,14.0,1366x768,6.9,2.8,Windows,1699.12
Microsoft,Intel i9,8,1TB SSD,Nvidia RTX 3080,15.6,1366x768,6.4,2.91,Windows,1448.92
Razer,AMD Ryzen 3,16,256GB SSD,Nvidia RTX 2060,17.3,3840x2160,4.6,1.22,FreeDOS,2481.7
Microsoft,AMD Ryzen 5,64,256GB SSD,Nvidia RTX 3060,15.6,1366x768,8.8,1.64,FreeDOS,2180.6
Acer,Intel i5,4,2TB SSD,Nvidia RTX 3080,13.3,2560x1440,5.4,1.63,Windows,1073.72
MSI,Intel i7,16,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,5.9,2.82,macOS,2449.33
Asus,Intel i9,32,512GB SSD,AMD Radeon RX 6600,15.6,3840x2160,7.1,3.35,macOS,4655.67
Asus,AMD Ryzen 5,8,256GB SSD,Nvidia RTX 2060,14.0,3840x2160,6.8,1.64,Linux,1749.09
Samsung,AMD Ryzen 3,16,256GB SSD,Integrated,17.3,1920x1080,4.5,1.48,Windows,705.27
Acer,Intel i7,8,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,10.9,3.31,FreeDOS,1517.72
MSI,AMD Ryzen 7,64,1TB HDD,Nvidia GTX 1650,17.3,1366x768,11.5,2.76,Linux,2935.07
MSI,Intel i7,32,1TB HDD,Nvidia RTX 3060,13.3,1920x1080,4.9,1.81,Linux,2128.18
Razer,Intel i7,64,1TB HDD,Nvidia RTX 3080,16.0,2560x1440,7.8,3.4,macOS,4733.36
Microsoft,Intel i3,4,512GB SSD,Nvidia RTX 3060,17.3,3840x2160,10.0,3.44,macOS,1253.28
Microsoft,Intel i9,8,256GB SSD,AMD Radeon RX 6800,14.0,3840x2160,9.1,1.79,Linux,2820.78
Apple,Intel i5,16,1TB SSD,AMD Radeon RX 6800,16.0,1920x1080,9.5,3.1,FreeDOS,2002.02
Apple,AMD Ryzen 5,16,1TB HDD,Nvidia RTX 2060,15.6,1366x768,9.7,3.22,Linux,1475.08
Razer,AMD Ryzen 7,32,1TB SSD,Integrated,17.3,1366x768,9.9,2.02,Linux,1567.42
Apple,Intel i9,32,1TB SSD,Integrated,16.0,1920x1080,11.4,1.3,macOS,2832.59
MSI,Intel i3,4,256GB SSD,Nvidia RTX 2060,17.3,3840x2160,10.4,3.5,FreeDOS,1690.65
Lenovo,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 3060,17.3,1366x768,8.5,1.39,macOS,1631.37
Lenovo,AMD Ryzen 7,4,256GB SSD,AMD Radeon RX 6600,17.3,1920x1080,10.3,1.68,Windows,1300.27
Dell,Intel i7,4,256GB SSD,AMD Radeon RX 6600,17.3,1366x768,5.8,1.21,Windows,1085.59
Lenovo,Intel i3,64,1TB SSD,Nvidia RTX 2060,16.0,3840x2160,11.8,2.78,Windows,3523.6
Razer,AMD Ryzen 3,8,1TB HDD,Nvidia RTX 3060,17.3,1366x768,11.4,1.81,macOS,895.17
Microsoft,AMD Ryzen 9,4,1TB HDD,AMD Radeon RX 6600,16.0,1920x1080,10.4,1.23,Windows,1255.03
Apple,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 3080,16.0,1920x1080,6.6,2.85,Linux,2600.06
Razer,Intel i3,16,256GB SSD,Nvidia GTX 1650,13.3,1920x1080,10.1,2.88,FreeDOS,1284.43
MSI,AMD Ryzen 3,8,256GB SSD,Nvidia RTX 3060,17.3,3840x2160,9.4,2.07,Windows,1951.87
Dell,AMD Ryzen 9,16,512GB SSD,Nvidia RTX 2060,13.3,2560x1440,5.1,2.43,FreeDOS,2344.09
HP,AMD Ryzen 3,4,512GB SSD,AMD Radeon RX 6800,15.6,3840x2160,7.0,1.28,macOS,1296.09
Microsoft,Intel i5,64,2TB SSD,Integrated,16.0,1920x1080,7.4,3.39,Linux,1663.41
MSI,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6800,15.6,1366x768,8.2,2.69,FreeDOS,1594.49
Microsoft,AMD Ryzen 9,16,1TB SSD,Nvidia GTX 1650,14.0,2560x1440,9.0,2.85,FreeDOS,2589.43
MSI,AMD Ryzen 9,16,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,9.7,2.94,FreeDOS,3094.92
HP,AMD Ryzen 5,4,512GB SSD,Nvidia RTX 3080,15.6,2560x1440,4.4,2.12,Windows,1233.23
Acer,AMD Ryzen 3,16,256GB SSD,Nvidia RTX 3060,13.3,3840x2160,4.9,2.54,macOS,1747.13
Apple,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6800,17.3,1366x768,7.6,3.39,FreeDOS,1777.96
Asus,Intel i3,32,2TB SSD,Nvidia GTX 1650,13.3,1920x1080,6.9,2.77,macOS,1475.04
Samsung,AMD Ryzen 5,64,256GB SSD,Nvidia RTX 3080,14.0,3840x2160,6.4,1.89,Windows,3947.61
Samsung,Intel i3,8,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,8.0,2.88,Windows,583.08
Dell,Intel i5,4,1TB HDD,Nvidia RTX 3080,13.3,1366x768,7.1,3.26,Windows,545.8
MSI,Intel i3,4,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,4.5,2.26,FreeDOS,1653.36
MSI,AMD Ryzen 7,16,2TB SSD,Integrated,14.0,3840x2160,6.0,3.31,macOS,2241.68
HP,Intel i3,8,256GB SSD,Nvidia RTX 2060,15.6,1366x768,5.6,2.69,Windows,940.79
Razer,Intel i3,8,256GB SSD,Nvidia RTX 3060,13.3,2560x1440,4.8,1.61,Windows,1391.12
Samsung,Intel i9,16,1TB SSD,Nvidia GTX 1650,15.6,1920x1080,4.1,1.8,FreeDOS,2230.67
Razer,Intel i9,32,1TB HDD,Nvidia RTX 3080,13.3,1920x1080,5.1,2.98,Linux,3179.69
Microsoft,AMD Ryzen 3,16,512GB SSD,Nvidia RTX 3060,15.6,2560x1440,9.0,2.19,FreeDOS,1391.77
Samsung,AMD Ryzen 7,8,2TB SSD,Nvidia RTX 3060,17.3,2560x1440,10.8,1.36,Linux,1845.58
HP,AMD Ryzen 7,64,512GB SSD,AMD Radeon RX 6800,13.3,1920x1080,6.3,2.02,FreeDOS,2982.7
HP,AMD Ryzen 5,8,2TB SSD,AMD Radeon RX 6800,15.6,1920x1080,4.5,2.16,Linux,1265.97
Apple,Intel i5,8,1TB HDD,Nvidia RTX 3080,17.3,1920x1080,4.2,2.89,FreeDOS,1251.71
Acer,AMD Ryzen 5,32,1TB HDD,Nvidia GTX 1650,15.6,1366x768,6.8,3.35,FreeDOS,1220.23
Samsung,AMD Ryzen 5,8,2TB SSD,AMD Radeon RX 6800,13.3,2560x1440,5.3,2.73,macOS,1141.9
MSI,Intel i3,4,2TB SSD,Integrated,15.6,1920x1080,6.5,1.7,Windows,643.52
Acer,AMD Ryzen 3,32,1TB SSD,Integrated,15.6,3840x2160,11.4,2.27,FreeDOS,1658.56
MSI,Intel i7,16,2TB SSD,Nvidia RTX 3060,13.3,3840x2160,5.9,1.59,Windows,3263.4
Dell,Intel i5,4,2TB SSD,Nvidia RTX 3060,14.0,2560x1440,11.3,1.68,macOS,1206.82
Lenovo,AMD Ryzen 5,64,1TB SSD,Nvidia RTX 3080,14.0,3840x2160,9.3,3.3,macOS,4069.21
Asus,AMD Ryzen 5,4,512GB SSD,Nvidia RTX 3080,15.6,3840x2160,6.2,2.35,FreeDOS,1639.33
Razer,Intel i7,16,256GB SSD,Nvidia RTX 3060,14.0,2560x1440,7.8,1.87,Linux,2523.65
Razer,AMD Ryzen 9,16,256GB SSD,AMD Radeon RX 6600,17.3,3840x2160,9.7,1.6,Windows,5070.16
Razer,Intel i5,4,1TB HDD,Integrated,17.3,3840x2160,9.4,1.21,FreeDOS,1437.22
Microsoft,Intel i5,4,1TB HDD,AMD Radeon RX 6800,13.3,3840x2160,7.7,1.79,Linux,1401.35
Razer,AMD Ryzen 9,4,2TB SSD,Integrated,15.6,1920x1080,6.6,3.31,FreeDOS,1507.13
HP,AMD Ryzen 7,32,2TB SSD,Nvidia RTX 3080,15.6,1366x768,9.5,2.02,FreeDOS,1847.66
Microsoft,Intel i5,8,256GB SSD,Nvidia RTX 2060,17.3,3840x2160,6.4,2.37,Windows,1703.19
Microsoft,Intel i7,64,2TB SSD,Nvidia RTX 2060,15.6,3840x2160,5.3,2.79,Linux,5505.95
Acer,Intel i3,32,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,9.9,2.6,FreeDOS,1142.24
Asus,AMD Ryzen 3,8,1TB HDD,Integrated,17.3,2560x1440,8.6,2.3,macOS,795.68
Razer,Intel i3,32,1TB SSD,AMD Radeon RX 6800,13.3,1920x1080,7.4,2.48,macOS,1830.19
Dell,AMD Ryzen 9,4,1TB HDD,Nvidia RTX 3060,17.3,1366x768,7.0,3.34,FreeDOS,1102.95
Microsoft,Intel i3,32,1TB SSD,AMD Radeon RX 6800,17.3,1366x768,5.9,2.1,macOS,1339.89
Acer,Intel i9,4,256GB SSD,Nvidia RTX 3080,14.0,1366x768,5.6,2.57,Linux,1120.06
Acer,AMD Ryzen 9,16,1TB SSD,Nvidia RTX 2060,17.3,1920x1080,8.6,2.31,Linux,2188.95
Acer,Intel i5,8,512GB SSD,AMD Radeon RX 6600,14.0,1920x1080,9.3,2.85,Linux,928.71
Apple,AMD Ryzen 9,4,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,6.6,2.63,FreeDOS,1861.85
HP,AMD Ryzen 7,4,256GB SSD,Nvidia RTX 3060,16.0,3840x2160,5.8,2.82,macOS,2094.32
Lenovo,Intel i7,64,256GB SSD,AMD Radeon RX 6800,17.3,3840x2160,12.0,3.32,Windows,5302.35
Razer,Intel i7,32,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,6.9,3.36,Linux,3760.46
Dell,Intel i9,64,512GB SSD,Nvidia GTX 1650,13.3,1920x1080,8.8,1.87,FreeDOS,3813.06
MSI,Intel i3,16,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,6.7,3.11,Linux,967.3
Asus,AMD Ryzen 3,8,1TB HDD,Nvidia RTX 2060,16.0,2560x1440,9.3,1.74,Windows,845.48
MSI,AMD Ryzen 7,64,1TB SSD,AMD Radeon RX 6600,14.0,1920x1080,9.0,3.37,macOS,3969.26
